% Model:              
% Version:            COMSOL 5.4.0.388
% Date:               Jun 13 2019, 17:55
% Dimension:          2
% Nodes:              2500
% Expressions:        2
% Description:        Displacement field, X component, Displacement field, Y component
% Length unit:        m
% X                       Y                        u (m)                    v (m)
0.01                      0.0030000000000000005    0.002610539215125775     -0.007450570278408576
0.03                      0.0030000000000000005    0.004516481906711993     -0.015070935058889418
0.05                      0.0030000000000000005    0.00584005872361582      -0.017973741682091766
0.07                      0.0030000000000000005    0.0067811417026395135    -0.020630798286380685
0.09                      0.0030000000000000005    0.00749856961458864      -0.022828429881104745
0.11                      0.0030000000000000005    0.008124622373459739     -0.024828269656735045
0.13                      0.0030000000000000005    0.008689692191797096     -0.02667720223495509
0.15                      0.0030000000000000005    0.009229353334617602     -0.028410107978149492
0.17                      0.0030000000000000005    0.009755056296978792     -0.030050810590895562
0.19                      0.0030000000000000005    0.010282518141798695     -0.031601104447236905
0.21                      0.0030000000000000005    0.010817060164179274     -0.03306991667925482
0.23                      0.0030000000000000005    0.011364718396255557     -0.03445533531735185
0.25                      0.0030000000000000005    0.011928212286368213     -0.03575762524281656
0.27                      0.0030000000000000005    0.012509498286320725     -0.03697451065045052
0.29                      0.0030000000000000005    0.013109275386797164     -0.0381029800164694
0.31                      0.0030000000000000005    0.013727540406307838     -0.03914057600515709
0.33                      0.0030000000000000005    0.014363706266899975     -0.04008399402229231
0.35                      0.0030000000000000005    0.015016599352113613     -0.04093026801753624
0.37                      0.0030000000000000005    0.01568489989927152      -0.041677277916441886
0.39                      0.0030000000000000005    0.016366948292793868     -0.04232151852007035
0.41                      0.0030000000000000005    0.0170606537470037       -0.04286232087971032
0.43                      0.0030000000000000005    0.01776459083557695      -0.043296288020589185
0.45                      0.0030000000000000005    0.018476001805033827     -0.04362354278882981
0.47                      0.0030000000000000005    0.01919319550917573      -0.04384174398264278
0.49                      0.0030000000000000005    0.019913608097905103     -0.043951062364346365
0.51                      0.0030000000000000005    0.02063526431431245      -0.043950679384581914
0.53                      0.0030000000000000005    0.02135567671711582      -0.04384059509195034
0.55                      0.0030000000000000005    0.022072870100336203     -0.043621628115775135
0.57                      0.0030000000000000005    0.022784280518624522     -0.04329360821398252
0.59                      0.0030000000000000005    0.02348821751115851      -0.042858875431228356
0.61                      0.0030000000000000005    0.024181921952097812     -0.042317309327848426
0.63                      0.0030000000000000005    0.024863970034122843     -0.04167230413376631
0.65                      0.0030000000000000005    0.02553226979912566      -0.04092453340153058
0.67                      0.0030000000000000005    0.026185164346905897     -0.04007749756800051
0.69                      0.0030000000000000005    0.026821329606717098     -0.03913332307133765
0.71                      0.0030000000000000005    0.027439598626408428     -0.03809497227930341
0.73                      0.0030000000000000005    0.02803938219215293      -0.03696575286785652
0.75                      0.0030000000000000005    0.028620682638995712     -0.035748122661357025
0.77                      0.0030000000000000005    0.029184202015266135     -0.0344450924657214
0.79                      0.0030000000000000005    0.029731908663673173     -0.033058951074553276
0.81                      0.0030000000000000005    0.03026653799626044      -0.031589409240470975
0.83                      0.0030000000000000005    0.030794169494794955     -0.030038431363468638
0.85                      0.0030000000000000005    0.0313201897345907       -0.02839687540116527
0.87                      0.0030000000000000005    0.031860650969518726     -0.026663401596337195
0.89                      0.0030000000000000005    0.032427862879401775     -0.024811450620725033
0.91                      0.0030000000000000005    0.033053024284460754     -0.022810481365571324
0.93                      0.0030000000000000005    0.03376960936992786      -0.020609206894014676
0.95                      0.0030000000000000005    0.03470302847906414      -0.017967491130964526
0.97                      0.0030000000000000005    0.036052292871690386     -0.015057093107511249
0.99                      0.0030000000000000005    0.037942348938107134     -0.007412892916743954
0.01                      0.009000000000000001     0.005180260019536903     -0.008011327170345767
0.03                      0.009000000000000001     0.006009945609546693     -0.015034447049530062
0.05                      0.009000000000000001     0.006820397191531783     -0.018093942600336036
0.07                      0.009000000000000001     0.007536706378283172     -0.02071299002548759
0.09                      0.009000000000000001     0.008156610724464346     -0.02290760997672993
0.11                      0.009000000000000001     0.00870896554309367      -0.024899575467095744
0.13                      0.009000000000000001     0.00923404763965193      -0.026745034011370072
0.15                      0.009000000000000001     0.009735454480813576     -0.028476688272849528
0.17                      0.009000000000000001     0.010233439994243242     -0.03011648401857684
0.19                      0.009000000000000001     0.01073338003105654      -0.03166740798804862
0.21                      0.009000000000000001     0.011241993735602581     -0.03313774228756915
0.23                      0.009000000000000001     0.011764203787187118     -0.034524974622599916
0.25                      0.009000000000000001     0.012301861244414814     -0.03582954201355873
0.27                      0.009000000000000001     0.012856944526973502     -0.037048685541328785
0.29                      0.009000000000000001     0.01342995458184584      -0.03817959410566474
0.31                      0.009000000000000001     0.014020415805788606     -0.0392194196516612
0.33                      0.009000000000000001     0.014628386582837374     -0.04016507629813429
0.35                      0.009000000000000001     0.015251889022439425     -0.04101333999511843
0.37                      0.009000000000000001     0.01589052200800359      -0.041762127699285334
0.39                      0.009000000000000001     0.016541885593203392     -0.04240804163107051
0.41                      0.009000000000000001     0.0172047174885932       -0.04295014055426337
0.43                      0.009000000000000001     0.017876997429022417     -0.043385293978820266
0.45                      0.009000000000000001     0.01855638232172567      -0.043713425750882585
0.47                      0.009000000000000001     0.019241631882309623     -0.04393216267354681
0.49                      0.009000000000000001     0.019929553399529384     -0.04404177659630752
0.51                      0.009000000000000001     0.020619089417717472     -0.044041393732036374
0.53                      0.009000000000000001     0.02130701085303261      -0.04393101364852804
0.55                      0.009000000000000001     0.02199225950145453      -0.04371151100604573
0.57                      0.009000000000000001     0.022671644606665386     -0.04338261399121689
